DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,EQV--AVARAGE [W],Var EQV--AVARAGE [Var],S_EQV,PF --AVARAGE [],V_RMS_EQV,I_RMS_EQV,Voltage_Unbalance_Percent,Current_Unbalance_Percent,Power_kW,Energy_Step_kWh,Energy_Cum_kWh
2017-10-29 04:23:15,229.9,25.1487,5298.72,5781.686130000001,2313.3224737235373,0.9164662143290714,234.86,5.998,1219.28,1408.69028,705.5243344963224,0.8655415724171817,231.59,10.2859,1711.83,2382.111581,1656.5306020216833,0.718618730396072,8229.83,4675.377410241543,9465.160102031921,0.8694866131459595,232.11666666666667,13.810866666666668,1.1818769297048923,82.09356883227217,8.22983,0.6837141666666666,36744.927494066884
2017-10-29 04:28:15,228.03,23.2127,4807.74,5293.191981000001,2214.388728322721,0.9082874789460615,233.01,6.451,1329.42,1503.1475099999998,701.4947615051728,0.8844241773716541,229.76,10.8303,1887.1,2488.3697279999997,1621.9856636933607,0.7583680104952636,8024.26,4537.869153521255,9218.514251335717,0.8704504631901312,230.26666666666665,13.498,1.191372321945573,71.97140317084015,8.02426,0.67725375,36745.604747816884
2017-10-29 04:33:15,228.03,19.0411,3765.83,4341.942033,2161.246175018518,0.8673146650458748,233.05,10.2974,2259.35,2399.8090700000002,808.9630090147923,0.9414707312527991,229.83,10.9301,1850.9,2512.064883,1698.4225523708178,0.7368042173296048,7876.08,4668.631736404128,9155.804631847483,0.860228053862563,230.30333333333337,13.422866666666666,1.1926300096973443,41.85568904804241,7.87608,0.6625141666666666,36746.26726198355
2017-10-29 04:38:15,227.92,16.4077,3108.53,3739.6429839999996,2078.9350367148127,0.8312371029266147,232.94,14.182,3209.83,3303.55508,781.3242205984708,0.9716290245719166,229.73,10.9447,1838.63,2514.325931,1715.0144636121922,0.7312615987175293,8156.990000000001,4575.273720925476,9352.5192050854,0.8721703555085635,230.1966666666667,13.8448,1.1917346037446144,20.94721483878424,8.15699,0.6680445833333333,36746.935306566884
2017-10-29 04:43:15,227.86,17.5061,3400.83,3988.9399460000004,2084.70554369064,0.8525648533290803,232.84,10.1883,2217.56,2372.243772,842.5960836562123,0.9347943184314534,229.58,10.428,1755.03,2394.0602400000002,1628.310207500051,0.7330767917519067,7373.419999999999,4555.611834846903,8667.232642902645,0.850723674301957,230.09333333333336,12.707466666666667,1.1937184910471001,37.76231297085178,7.373419999999999,0.6471004166666666,36747.58240698355
2017-10-29 04:48:15,227.9,17.5927,3411.92,4009.37633,2105.6828985306097,0.850985220437015,233,6.478,1306.92,1509.374,755.0960107668427,0.8658688966419191,229.66,10.1732,1693.95,2336.3771119999997,1609.0964567040282,0.7250327831494354,6412.79,4469.875366001481,7816.883098248743,0.8203768585763667,230.18666666666664,11.414633333333335,1.2221964782205867,54.12409217408063,6.41279,0.5744254166666666,36748.156832400215
2017-10-29 04:53:15,228.57,17.7826,3528.38,4064.5688819999996,2017.7350599428871,0.8680822253069644,233.67,7.0914,1444.73,1657.047438,811.5179843246631,0.8718700303135196,230.32,10.1695,1689.74,2342.23924,1621.9936466570323,0.7214207546108741,6662.85,4451.246690924582,8012.937490456733,0.8315115409218325,230.85333333333332,11.681166666666664,1.2201108929190234,52.233081741264456,6.662850000000001,0.5448183333333333,36748.70165073355
2017-10-29 04:58:15,228.57,18.1091,3550.47,4139.196987,2127.701688745365,0.8577678257765894,233.61,7.9185,1541.68,1849.840785,1022.3178113724794,0.8334122658021079,230.34,10.8785,1801.43,2505.75369,1741.7380715964773,0.7189174287916543,6893.58,4891.757571714322,8452.853799565233,0.8155328559396788,230.84,12.302033333333334,1.1999653439611897,47.204120728009734,6.89358,0.56485125,36749.26650198355
2017-10-29 05:03:15,227.87,19.91,3867.52,4536.8917,2371.8506165289778,0.8524602868523399,233.08,10.4194,1998.83,2428.553752,1379.3302568468787,0.8230536377273482,229.67,14.4038,2357.19,3308.120746,2321.059709274106,0.7125465425801601,8223.54,6072.240582649962,10222.461338893934,0.8044579213727586,230.20666666666668,14.911066666666665,1.2481538327879302,33.52498815197663,8.223540000000002,0.62988,36749.89638198355
2017-10-29 05:08:15,227.86,17.1703,3372.83,3912.4245580000006,1982.69607180261,0.862081798638991,233.16,6.8513,1325.62,1597.449108,891.38951544765,0.8298355129821137,229.68,11.2023,1848.26,2572.9442639999997,1789.9656862773936,0.7183443597517433,6546.71,4664.051273527653,8038.20789145161,0.8144489528520689,230.23333333333335,11.7413,1.2711741711307287,46.238491478797066,6.54671,0.6154270833333333,36750.511809066884
2017-10-29 05:13:15,227.8,17.2962,3432.35,3940.07436,1934.7246418623533,0.8711383812563375,233.11,7.3955,1462.78,1723.9650050000002,912.3212208781788,0.8484975018387916,229.61,11.3052,1938.32,2595.786972,1726.564676345757,0.7467176701740531,6833.45,4573.6105390862895,8222.770352243893,0.8310398694443941,230.17333333333332,11.998966666666666,1.2758500839946836,44.147412693870855,6.83345,0.5575066666666666,36751.06931573355
2017-10-29 05:18:15,227.9,19.0349,3860.2,4338.05371,1979.2842016357238,0.8898460595592763,233.25,6.8289,1347.93,1592.840925,848.6618451744225,0.8462426968342743,229.68,10.7713,1782.03,2473.952184,1716.0444306073111,0.7203170746488444,6990.16,4543.990477417457,8337.276910626186,0.8384224339593144,230.27666666666664,12.2117,1.291200440050385,55.87428449765389,6.9901599999999995,0.57598375,36751.64529948355
