DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,EQV--AVARAGE [W],Var EQV--AVARAGE [Var],S_EQV,PF --AVARAGE [],V_RMS_EQV,I_RMS_EQV,Voltage_Unbalance_Percent,Current_Unbalance_Percent,Power_kW,Energy_Step_kWh,Energy_Cum_kWh
2017-10-01 00:00:45,237.25,5.5513,1112.76,1317.0459250000001,704.5389634073518,0.8448908112296842,234.45,0,0,0,0,0,231.86,0,0,0,0,0,1112.76,704.5389634073518,1317.0459250000001,0.8448908112296842,234.51999999999998,1.8504333333333334,1.1640798226164157,200.00000000000006,1.11276,0,0
2017-10-01 00:05:45,236.14,5.5763,1112.68,1316.787482,704.1821428805903,0.844995882182908,233.39,0,0,0,0,0,230.87,0,0,0,0,0,1112.68,704.1821428805903,1316.787482,0.844995882182908,233.46666666666667,1.8587666666666667,1.1450599657338598,199.99999999999997,1.1126800000000001,0.09272666666666665,0.09272666666666665
2017-10-01 00:10:45,235.52,5.5876,1112.16,1315.9915520000002,703.5153867083285,0.8451118081341603,232.78,0,0,0,0,0,230.26,0,0,0,0,0,1112.16,703.5153867083285,1315.9915520000002,0.8451118081341603,232.85333333333332,1.8625333333333334,1.1452130096197974,200,1.11216,0.09270166666666665,0.1854283333333333
2017-10-01 00:15:45,235.56,5.5836,1112.74,1315.272816,701.2505065299916,0.8460145959558858,232.75,0,0,0,0,0,230.31,0,0,0,0,0,1112.74,701.2505065299916,1315.272816,0.8460145959558858,232.87333333333333,1.8612,1.1537030145143286,199.99999999999997,1.11274,0.09270416666666666,0.27813249999999995
2017-10-01 00:20:45,235.62,5.6013,1117,1319.7783060000002,702.9408061766154,0.8463542664111648,232.9,0,0,0,0,0,230.47,0,0,0,0,0,1117,702.9408061766154,1319.7783060000002,0.8463542664111648,232.99666666666667,1.8671,1.1259102419204858,200.00000000000006,1.117,0.09290583333333331,0.37103833333333325
2017-10-01 00:25:45,236.14,5.5734,1111.86,1316.102676,704.1971273545223,0.8448125061026773,233.4,0,0,0,0,0,230.93,0,0,0,0,0,1111.86,704.1971273545223,1316.102676,0.8448125061026773,233.49,1.8578000000000001,1.1349522463488704,200,1.1118599999999998,0.09286916666666664,0.4639074999999999
2017-10-01 00:30:45,236.35,5.5719,1112.56,1316.918565,704.6167420957717,0.84482065145767,233.56,0,0,0,0,0,231.17,0,0,0,0,0,1112.56,704.6167420957717,1316.918565,0.84482065145767,233.6933333333333,1.8573000000000002,1.1368174815998298,199.99999999999997,1.11256,0.09268416666666668,0.5565916666666666
2017-10-01 00:35:45,236.4,5.5672,1112.76,1316.08608,702.7430201501588,0.845507005134497,233.6,0,0,0,0,0,231.15,0,0,0,0,0,1112.76,702.7430201501588,1316.08608,0.845507005134497,233.71666666666667,1.8557333333333332,1.1481138130214663,200,1.11276,0.09272166666666665,0.6493133333333332
2017-10-01 00:40:45,236.97,5.5586,1112.5,1317.221442,705.2773052243773,0.8445808461110672,234.18,0,0,0,0,0,231.84,0,0,0,0,0,1112.5,705.2773052243773,1317.221442,0.8445808461110672,234.33,1.8528666666666667,1.1266163103315776,200.00000000000006,1.1125,0.09271916666666666,0.7420324999999999
2017-10-01 00:45:45,237.2,5.5523,1112.61,1317.0055599999998,704.700385249585,0.8448028116145538,234.51,0,0,0,0,0,232.15,0,0,0,0,0,1112.61,704.700385249585,1317.0055599999998,0.8448028116145538,234.62,1.8507666666666667,1.0996504986787077,199.99999999999997,1.1126099999999999,0.09271291666666664,0.8347454166666666
2017-10-01 00:50:45,236.63,5.5659,1112.62,1317.058917,704.7843120056046,0.8447761794395109,233.85,0,0,0,0,0,231.52,0,0,0,0,0,1112.62,704.7843120056046,1317.058917,0.8447761794395109,234,1.8553,1.1239316239316222,200.00000000000006,1.11262,0.09271791666666664,0.9274633333333332
2017-10-01 00:55:45,236.73,5.5655,1112.26,1317.5208149999999,706.2144082063634,0.8442067763460724,234.01,0,0,0,0,0,231.64,0,0,0,0,0,1112.26,706.2144082063634,1317.5208149999999,0.8442067763460724,234.12666666666667,1.8551666666666666,1.1119337110965537,200.00000000000006,1.11226,0.09270333333333333,1.0201666666666664
