DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,EQV--AVARAGE [W],Var EQV--AVARAGE [Var],S_EQV,PF --AVARAGE [],V_RMS_EQV,I_RMS_EQV,Voltage_Unbalance_Percent,Current_Unbalance_Percent,Power_kW,Energy_Step_kWh,Energy_Cum_kWh
2017-05-07 00:10:33,232.9,63.6176,10543.88,14816.539040000001,10409.439162099185,0.7116290769075582,227.44,47.7238,8974.99,10854.301071999998,6104.539807513775,0.8268602409741598,231.05,34.8438,6300.3,8050.659990000001,5011.920408843981,0.7825818017188426,25819.17,21525.89937845694,33615.381650969735,0.7680760631570925,230.46333333333337,48.7284,1.311850041221323,30.555487149177896,25.81917,2.22899125,7984.676295416658
2017-05-07 00:15:33,234.01,61.8235,10150.71,14467.317235,10308.557342035212,0.7016304291332559,228.26,56.2188,11193.89,12832.503288,6274.549171409116,0.8723075886890822,231.94,34.1299,6036.47,7916.089006,5121.0833902616805,0.7625571156949672,27381.07,21704.189903706007,34939.87483837104,0.783662509572875,231.40333333333334,50.724066666666666,1.3583785886115203,32.71458255844365,27.38107,2.2166766666666664,7986.892972083325
2017-05-07 00:20:33,234.51,62.4709,10177.35,14650.050759,10537.814489673676,0.6946972517312082,228.72,56.9999,11399.41,13037.017128,6325.920268835623,0.8743878977896822,232.37,35.6377,6423.72,8281.132349000001,5226.1816217248215,0.7757055109469063,28000.480000000003,22089.91638023412,35664.9868346553,0.7850971634957181,231.86666666666667,51.70283333333333,1.3571017826337013,31.072056012404214,28.000480000000003,2.3075645833333334,7989.200536666658
2017-05-07 00:25:33,234.59,64.0512,10591.14,15025.771008,10658.402689205046,0.7048649945723969,229.15,48.5956,9132.5,11135.68174,6371.879751264099,0.8201114411518733,232.74,35.4513,6295.53,8250.935562,5333.31413544864,0.7630080192353342,26019.17,22363.596575917785,34309.29406588398,0.7583708936137102,232.16,49.36603333333333,1.2965196416264606,29.747511953225604,26.01917,2.2508187499999996,7991.451355416658
2017-05-07 00:30:33,234.75,63.1721,10354.37,14829.650475,10616.287256558562,0.6982207717879474,229.15,56.1151,11102.55,12858.775165,6487.024143744246,0.8634220489537582,232.67,36.3,6604.01,8445.920999999998,5265.038789804019,0.7819170934703275,28060.93,22368.35019010683,35885.357497064906,0.7819604417287783,232.18999999999997,51.8624,1.309272578491737,30.007095699389158,28.06093,2.2533374999999998,7993.704692916658
2017-05-07 00:35:33,234.33,63.9863,10449.6,14993.909679,10752.822294728481,0.6969229656382006,228.72,55.7681,11099,12755.279831999998,6285.647348732342,0.8701494711354916,232.36,34.3936,6050.38,7991.696896,5221.122593191625,0.7570832676384828,27598.98,22259.592236652446,35456.91954446181,0.7783806476868863,231.80333333333337,51.382666666666665,1.3301505586632507,33.06380880712043,27.59898,2.3191629166666665,7996.023855833325
2017-05-07 00:40:33,232.78,65.0426,10839.65,15140.616428,10570.72626158314,0.7159318810794194,227.38,51.9184,10130.23,11805.205791999999,6061.462194765411,0.8581154940022244,230.99,34.6987,6274.79,8015.052713000001,4986.790595971388,0.7828756995974107,27244.67,21618.97905231994,34780.05604759067,0.783341750879304,230.38333333333333,50.55323333333333,1.3036243941257313,31.362055971362196,27.24467,2.285152083333333,7998.309007916659
2017-05-07 00:45:33,233.53,64.8378,10721.51,15141.571434,10691.88518507493,0.7080843653998244,228.15,50.0892,9587.41,11427.85098,6219.1114729506935,0.8389512618583341,231.72,32.7599,5774.98,7591.124028,4926.943272261104,0.7607542675760375,26083.899999999998,21837.939930286724,34018.60460996029,0.7667539659273063,231.13333333333333,49.22896666666666,1.29074127487741,33.454016571544244,26.083899999999996,2.2220237499999995,8000.531031666658
2017-05-07 00:50:33,233.96,63.3083,10535.66,14811.609868000001,10410.74710317348,0.7113109306748585,228.38,56.4479,11262.89,12891.571402,6272.1544991146575,0.8736630817754827,232.04,33.3561,5973.25,7739.949443999999,4922.103395213869,0.771742766954435,27771.8,21605.004997502005,35185.922130620456,0.7892872580375452,231.46,51.03743333333333,1.3306834874276385,34.64385291057609,27.7718,2.2439875,8002.775019166658
2017-05-07 00:55:33,234.16,61.6714,10042.45,14440.975024,10377.42538596601,0.6954135702963322,228.58,56.329,11214,12875.68282,6326.880122243755,0.8709441011222424,232.2,33.6987,6095.53,7824.83814,4906.384201863798,0.7789975832011268,27351.98,21610.689710073562,34859.04071636911,0.7846452294126399,231.64666666666668,50.56636666666666,1.323855296860159,33.357482015384385,27.35198,2.2968241666666662,8005.071843333325
