DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,EQV--AVARAGE [W],Var EQV--AVARAGE [Var],S_EQV,PF --AVARAGE [],V_RMS_EQV,I_RMS_EQV,Voltage_Unbalance_Percent,Current_Unbalance_Percent,Power_kW,Energy_Step_kWh,Energy_Cum_kWh
2017-06-01 00:02:35,246.89,0,682.97,682.97,0,1,242.18,0,0,0,0,0,244.2,10.3473,2417.91,2526.81066,733.8142431090016,0.956901931069105,3100.88,733.8142431090016,3186.5247712499645,0.973122828975728,244.42333333333332,3.4491,1.0091780653783744,200.00000000000006,3.10088,0,0
2017-06-01 00:07:35,247.35,0,587.64,587.64,0,1,242.68,0,0,0,0,0,244.57,10.3155,2409.95,2522.861835,746.3061275371983,0.955244542751585,2997.5899999999997,746.3061275371983,3089.096735956899,0.9703775103926768,244.86666666666665,3.4385,1.0141573645521433,200.00000000000006,2.9975899999999998,0.2541029166666666,0.2541029166666666
2017-06-01 00:12:35,247.93,8.5835,2309.28,2309.28,0,1,243.22,0,0.19,0.19,0,1,245.39,10.3638,2425.07,2543.172882,766.0050932207856,0.9535608126227261,4734.540000000001,766.0050932207856,4796.106005338101,0.9871633351578184,245.51333333333332,6.315766666666666,0.984332147609099,100,4.734540000000001,0.32217208333333336,0.576275
2017-06-01 00:17:35,248.41,1.8018,951.76,951.76,0,1,243.74,0,0,0,0,0,245.7,10.3583,2424.18,2545.03431,774.9522350939939,0.952513681436381,3375.9399999999996,774.9522350939939,3463.743906566589,0.9746505778328097,245.94999999999996,4.053366666666666,1.0002032933523224,155.5480629271141,3.3759399999999995,0.33793666666666666,0.9142116666666666
2017-06-01 00:22:35,248.22,0,593.3,593.3,0,1,243.65,0,0,0,0,0,245.55,10.3549,2424.05,2542.645695,767.4820700199012,0.9533573650339042,3017.3500000000004,767.4820700199012,3113.427331784385,0.9691409750266051,245.8066666666667,3.4516333333333336,0.9818014157467785,200,3.0173500000000004,0.26638708333333333,1.18059875
2017-06-01 00:27:35,245.82,6.7432,1925.62,1925.62,0,1,241.38,0,0.2,0.2,0,1,243.42,10.3128,2406.31,2510.3417759999998,715.1839037833792,0.9585587201732487,4332.13,715.1839037833792,4390.7673991149695,0.9866452959619795,243.54,5.6853333333333325,0.9361911800936197,100,4.33213,0.3062283333333333,1.4868270833333332
2017-06-01 00:32:35,246.21,3.8692,1351.88,1351.88,0,1,241.73,0,0,0,0,0,243.69,10.2853,2400.78,2506.4247569999998,720.0142040977433,0.9578504175300087,3752.6600000000003,720.0142040977433,3821.109463192923,0.9820864950736777,243.87666666666667,4.718166666666666,0.9567677651271856,117.99357094916813,3.75266,0.33686625000000003,1.8236933333333334
2017-06-01 00:37:35,244.88,0,579.75,579.75,0,1,240.35,0,0,0,0,0,242.23,10.2574,2388.45,2484.650002,684.6840365735134,0.9612822723834082,2968.2,684.6840365735134,3046.145674444773,0.9744117048968841,242.48666666666668,3.4191333333333334,0.9869958485689865,200.00000000000006,2.9682,0.2800358333333334,2.1037291666666667
2017-06-01 00:42:35,244.89,3.9949,1380,1380,0,1,240.32,0,0.13,0.13,0,1,242.37,10.2925,2398.74,2494.593225,684.8662428649128,0.961575609185742,3778.87,684.8662428649128,3840.4296956871767,0.9839706229341189,242.52666666666664,4.762466666666667,0.974463289260292,116.11699819421308,3.77887,0.28112791666666664,2.3848570833333333
2017-06-01 00:47:35,244.73,6.3258,1822.93,1822.93,0,1,240.22,0,0,0,0,0,242.26,10.2566,2388.52,2484.763916,684.8532162848143,0.961266374088797,4211.45,684.8532162848143,4266.771030926742,0.9870344505187271,242.40333333333334,5.527466666666666,0.9598327855777509,100,4.21145,0.33292999999999995,2.7177870833333335
2017-06-01 00:52:35,244.49,0,578.47,578.47,0,1,240.01,0,0,0,0,0,241.8,10.2816,2392.93,2486.0908799999997,674.1912775460488,0.9625271623215963,2971.3999999999996,674.1912775460488,3046.9249808157683,0.9752127205982117,242.1,3.4271999999999996,0.9871953738124803,200.00000000000006,2.9713999999999996,0.29928541666666664,3.0170725000000003
2017-06-01 00:57:35,244.52,1.4643,814.83,814.83,0,1,240.1,0,0.22,0.22,0,1,241.77,10.282,2392.83,2485.87914,673.7653076458746,0.962568920386049,3207.88,673.7653076458746,3277.8733630491492,0.978646715325195,242.13,3.915433333333333,0.9870730599264919,162.6018405795868,3.2078800000000003,0.25747,3.2745425000000004
2017-06-01 01:02:35,244.39,9.1122,2343.55,2343.55,0,1,239.97,0,0,0,0,0,241.77,10.2374,2381.09,2475.0961979999997,675.6564224915304,0.9620191740119187,4724.64,675.6564224915304,4772.707274792166,0.989928719273013,242.04333333333332,6.449866666666666,0.969523363585032,100,4.72464,0.33052166666666666,3.605064166666667
2017-06-01 01:07:35,244.35,0,513.63,513.63,0,1,239.91,0,0,0,0,0,241.57,10.2365,2381,2472.8313049999997,667.632880397604,0.9628639022749674,2894.63,667.632880397604,2970.6256074921325,0.9744176420951647,241.9433333333333,3.4121666666666663,0.9947232823112967,200.00000000000006,2.8946300000000003,0.3174695833333333,3.9225337500000004
2017-06-01 01:12:35,244.22,0,506.11,506.11,0,1,239.83,0,0,0,0,0,241.63,10.252,2386.06,2477.19076,665.7264737333028,0.9632120539639022,2892.17,665.7264737333028,2967.8003717786305,0.9745163547731128,241.89333333333335,3.4173333333333336,0.9618564656597896,200,2.89217,0.24111666666666667,4.163650416666667
2017-06-01 01:17:35,244.31,9.9793,2502.29,2502.29,0,1,239.99,0,0.16,0.16,0,1,241.99,10.2942,2397.79,2491.0934580000003,675.3885788125233,0.9625451796277006,4900.24,675.3885788125233,4946.564645285695,0.9906349863779006,242.09666666666666,6.757833333333333,0.9142353605309194,100,4.90024,0.32468375,4.488334166666667
2017-06-01 01:22:35,244.58,0,450.45,450.45,0,1,240.33,0,0,0,0,0,241.89,10.26,2387.29,2481.7913999999996,678.3325209762232,0.9619221019139644,2837.74,678.3325209762232,2917.688008786059,0.9725988493131167,242.26666666666665,3.42,0.9548706659328678,200,2.8377399999999997,0.3224158333333333,4.8107500000000005
2017-06-01 01:27:35,244.65,0,450.45,450.45,0,1,240.36,0,0,0,0,0,241.91,10.2348,2380.04,2475.900468,682.2702733100853,0.961282584159195,2830.49,682.2702733100853,2911.5573780955474,0.9721566956895853,242.30666666666664,3.4116,0.9670940406097077,200,2.8304899999999997,0.23617624999999998,5.04692625
2017-06-01 01:32:35,244.74,7.5414,2005.09,2005.09,0,1,240.51,0,0.22,0.22,0,1,242.27,10.2504,2386.76,2483.3644080000004,685.9121556884606,0.9610993828820309,4392.07,685.9121556884606,4445.307005170867,0.9880239980930583,242.50666666666666,5.930600000000001,0.9209368814603097,100,4.3920699999999995,0.30094,5.34786625
