DateTime,V L1,A L1,W L1,S L1,Q L1,PF L1,V L2,A L2,W L2,S L2,Q L2,PF L2,V L3,A L3,W L3,S L3,Q L3,PF L3,EQV--AVARAGE [W],Var EQV--AVARAGE [Var],S_EQV,PF --AVARAGE [],V_RMS_EQV,I_RMS_EQV,Voltage_Unbalance_Percent,Current_Unbalance_Percent,Power_kW,Energy_Step_kWh,Energy_Cum_kWh
2017-09-02 02:56:39,238.11,37.9938,8824.11,9046.703718,1994.4750861254238,0.9753950471974548,243.2,34.5837,8116.14,8410.75584,2206.600394383652,0.964971538158454,240.66,29.7189,6660.61,7152.150474,2605.6728172659023,0.9312737510505571,23600.86,6806.748297774979,24562.825878323987,0.9608365143697536,240.65666666666667,34.098800000000004,1.0582157153344265,12.844733539010178,23.60086,1.8702725,1828.8204704166662
2017-09-02 03:01:39,238.53,39.0013,9009.27,9302.980089,2319.1577357804817,0.9684283867975502,243.62,35.5565,8333.32,8662.27453,2364.482567219885,0.9620244626442241,241.04,30.1278,6723.44,7262.004912,2744.461679148051,0.9258379857179584,24066.03,7428.101982148418,25186.31570948989,0.9555200640533629,241.0633333333333,34.895199999999996,1.0605788243753511,13.662050941103635,24.066029999999998,1.9861204166666666,1830.8065908333328
2017-09-02 03:06:39,238.84,38.7715,8965.25,9260.185060000002,2318.473589012225,0.9681501980695836,244.06,34.2499,8110.79,8359.030594,2021.998528023202,0.9703027054144073,241.36,28.3585,6405.59,6844.60756,2411.8601539702,0.9358593526142206,23481.63,6752.332271005627,24433.19337612184,0.9610544818487875,241.42,33.793299999999995,1.093529947808804,16.082477887628603,23.481630000000003,1.9811524999999999,1832.7877433333329
2017-09-02 03:11:39,238.75,36.7114,8544.88,8764.846749999999,1951.2981157643626,0.9749035258374598,243.87,30.7654,7290.37,7502.758098,1772.5361322705332,0.9716919970994912,241.28,26.3235,6026.92,6351.33408,2003.9161432977776,0.9489218995704286,21862.17,5727.750391332673,22600.03543480212,0.9673511381461875,241.29999999999998,31.266766666666665,1.0650642353916377,17.41348375218416,21.86217,1.889325,1834.677068333333
2017-09-02 03:16:39,236.68,38.1238,8828.29,9023.140984000001,1865.0385768236788,0.9784054151048384,241.79,31.4774,7377.09,7610.920545999999,1872.0722981297822,0.9692769692461326,239.27,26.411,6011.61,6319.35997,1948.0389211559427,0.9513004526627716,22216.99,5685.149796109404,22932.849209470307,0.9687845499295968,239.24666666666667,32.00406666666667,1.0728118817399042,19.12173661263882,22.216990000000003,1.8366316666666667,1836.5136999999995
2017-09-02 03:21:39,236.53,40.9165,9379.91,9677.979745,2383.3968063522875,0.9692012431464331,241.58,37.1808,8551.19,8982.137664,2748.808214289851,0.952021703505256,239.11,30.4748,6792.12,7286.829428,2639.126563537038,0.9321090972571617,24723.219999999998,7771.331584179177,25915.848466906515,0.9539807284940157,239.07333333333335,36.1907,1.0638297872340499,15.79383653811615,24.723219999999998,1.9558420833333332,1838.469542083333
2017-09-02 03:26:39,236.08,41.1681,9404.79,9718.965048000002,2451.1643478448473,0.9676740222391629,241.1,37.331,8571.3,9000.5041,2746.250236980751,0.9523133265391212,238.63,31.3411,6929.34,7478.926693,2813.999225953682,0.9265152988443659,24905.43,8011.4138107792805,26162.247509196244,0.9519606444838326,238.60333333333332,36.6134,1.0575432028052048,14.39991915528194,24.90543,2.067860416666666,1840.5374024999996
2017-09-02 03:31:39,236.07,40.9165,9389.83,9659.158155,2265.044996110006,0.9721168086619865,241.08,35.3468,8200.14,8521.406544000001,2317.7733859301366,0.9622988831314229,238.65,30.914,6842.22,7377.6261,2759.237638008225,0.9274284041041332,24432.190000000002,7342.056020048368,25511.52082486712,0.9576924154276585,238.6,35.725766666666665,1.0603520536462705,14.529382621133397,24.432190000000002,2.0557341666666664,1842.5931366666664
2017-09-02 03:36:39,236.37,36.9673,8547.11,8737.960701,1816.278574481459,0.9781584390762758,241.48,31.2431,7337.98,7544.583787999999,1753.5090686256558,0.9726156148827438,238.93,27.1825,6125.15,6494.714725000001,2159.5964522641357,0.9430976200421181,22010.239999999998,5729.38409537125,22743.71357034495,0.9677504921051542,238.92666666666665,31.797633333333334,1.070063338820828,16.258023395871184,22.01024,1.93510125,1844.5282379166663
2017-09-02 03:41:39,236.72,35.623,8264.33,8432.67656,1676.5690014650231,0.9800364025820053,241.68,30.94,7287.17,7477.5792,1676.7063199536876,0.9745359835172324,239.19,26.956,6088.48,6447.60564,2121.798713016815,0.9443009296703823,21639.98,5475.074034435525,22321.85409151646,0.969452623033872,239.19666666666663,31.173000000000002,1.0381972992934867,14.275174028806967,21.63998,1.8187591666666667,1846.346997083333
